Page Title,Owner,File Formats,Description,Date Last Updated,License,Update Frequency,Access
Ontario Builds: key infrastructure projects - Dataset - Ontario Data Catalogue,Infrastructure,CSV,"This is a sample of key infrastructure projects happening in Ontario. Projects
will be added and updated on an ongoing basis.","May 5, 2023",Open Government Licence – Ontario,Quarterly,,Ontario
Ontario COVID-19 outbreaks data - Dataset - Ontario Data Catalogue,Health,CSV,As of June 16  all COVID-19 datasets will be updated weekly on Thursdays by 2pm,"December 1, 2022",Open Government Licence – Ontario,As required,,Ontario
Ontario COVID-19 testing metrics by Public Health Unit (PHU) - Dataset - Ontario Data Catalogue,Health,CSV,Learn how the Government of Ontario is helping to keep Ontarians safe during the 2019 Novel Coronavirus outbreak.,"October 5, 2023",Open Government Licence – Ontario,Weekly,,Ontario
Ontario Community Infrastructure Fund recipients - Dataset - Ontario Data Catalogue,Infrastructure,XLSX,The Ontario Community Infrastructure Fund (OCIF) was launched in 2014 and provides funding to help small  rural and northern communities renew and rehabilitate critical infrastructure.,"March 31, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Ontario Economic Accounts - Dataset - Ontario Data Catalogue,Finance,XLSX,"The Ontario Economic Accounts (OEA) is a public document  released four times
a year that provides an overall assessment of the current state of the Ontario
economy. OEA estimates are based on Statistics Canada data. Its primary
audience includes economists in both public and private sectors and credit
rating agencies.","July 13, 2023",Open Government Licence – Ontario,Quarterly,,Ontario
Ontario Energy Report Supporting Data - Dataset - Ontario Data Catalogue,Energy,ZIP,These datasets contain information about oil  gas and electricity in Ontario. Specifically  this information includes but is not limited to fuel and electricity prices  energy consumption and conservation  and energy supply and demand. This dataset includes supporting information for the Ontario Energy Quarterly Oil & Gas and Electricity reports.,"June 5, 2023",Open Government Licence – Ontario,Never,,Ontario
Ontario Forest Biomonitoring Network - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,ZIP,The Ontario Forest Biomonitoring Network (OFBN) monitors the health of mixed hardwood forests across southern and central Ontario. The data set includes:,"November 30, 2021",Open Government Licence – Ontario,As required,,Ontario
Ontario Guaranteed Annual Income System benefit rates - Dataset - Ontario Data Catalogue,Finance,XLSX,If you’re a low-income senior  you may qualify for monthly Guaranteed Annual Income System payments.,"October 1, 2023",Open Government Licence – Ontario,Quarterly,,Ontario
Ontario Health Premium rates - Dataset - Ontario Data Catalogue,Finance,CSV,"Data tracking the estimated Ontario Health Premium amounts paid by
individuals. The premium ranges up to $900 if your taxable income is more than
$20 000.","June 8, 2023",Open Government Licence – Ontario,As required,,Ontario
Ontario Infant Hearing Program (IHP) screening statistics - Dataset - Ontario Data Catalogue,Children  Community and Social Services,CSV,"The data tracks the number of babies screened with the Stage 1 ADPOAE through
the IHP  either in Pre-discharge hospital or in the community.","May 30, 2016",Open Government Licence – Ontario,As required,,Ontario
Ontario Land Cover Compilation v.2.0 - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,The 3 combined land cover databases:,"November 16, 2014",Open Government Licence – Ontario,Other,,Ontario
Ontario Landfills - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,CSV,This is a listing of approved landfills in Ontario. Here you will find basic information on Ontario’s landfills including:,"April 14, 2022",Open Government Licence – Ontario,As required,,
2006 Commercial Vehicle Survey: equivalent single axle load - Dataset - Ontario Data Catalogue,Transportation,ZIP,"Equivalent Single Axle Loadings (ESAL) are derived from the axle weight
measurements from the 2006 Ontario Commercial Vehicle Survey data. All values
are factored up to represent the Annual Average Daily Truck Traffic (AADTT)
for each segment.","April 30, 2015",Open Government Licence – Ontario,Other,,Ontario
2006 Commercial Vehicle Survey: origin and destination - Dataset - Ontario Data Catalogue,Transportation,CSV,"Origin zone :
Trip Origin Zone Number - Zone aggregation is counties in Ontario and
province/state for others","April 30, 2015",Open Government Licence – Ontario,Other,,Ontario
2006 Commercial Vehicle Survey: traffic volumes at survey stations - Dataset - Ontario Data Catalogue,Transportation,CSV,"The dataset contains average hourly truck and auto volumes for one week. The
data is based on traffic counts collected over a two week period during the
Commercial Vehicle Survey (CVS).","April 30, 2015",Open Government Licence – Ontario,Other,,Ontario
AIDS bureau locations - Dataset - Ontario Data Catalogue,Health,,"Geographical information about the locations of community-based HIV/AIDS
organizations that deliver HIV prevention and support services to people
living with or affected by HIV and to people at high risk of acquiring HIV.","April 5, 2020",Open Government Licence – Ontario,Yearly,,Ontario
Active co-operatives in Ontario - Dataset - Ontario Data Catalogue,Public and Business Service Delivery,,Use this directory to find information about active Co-Operative Corporations  including the name  co-op type and address.,,King's Printer for Ontario,Ontario,,Ontario
Adoption homestudies and homestudy waiting lists - Dataset - Ontario Data Catalogue,Children  Community and Social Services,CSV,"The adoption homestudies data shows the number of homestudies completed during
the fiscal year inclusive of those withdrawn  rejected and approved  conducted
by a children's aid society on adoptive applicants.","April 30, 2015",Open Government Licence – Ontario,Yearly,,Ontario
Adoption openness arrangements - Dataset - Ontario Data Catalogue,Children  Community and Social Services,CSV,Data shows number of:,"April 30, 2015",Open Government Licence – Ontario,As required,,Ontario
Adult non-credit second language program grants - Dataset - Ontario Data Catalogue,Children  Community and Social Services,XLSX,"The program provides funding to school boards for adult English as a Second
Language and French as a Second Language training to newcomers.","January 6, 2017",Open Government Licence – Ontario,Yearly,,Ontario
Age-Friendly Community Planning Grant Program approved projects - Dataset - Ontario Data Catalogue,Seniors and Accessibility,XLSX,"The data includes the list of successful grant recipients  their city
location  and description of their projects. AFC Planning Grant projects fund
local governments and community organizations to undertake strategic planning
with a focus on seniors as outlined in the Age-Friendly Community Planning
Guide and lead to the development of local aging plans.","February 23, 2018",Open Government Licence – Ontario,Other,,Ontario
Aggregated Ontario greenhouse vegetable production - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on production  farm value and average price of greenhouse tomatoes  cucumbers  and peppers grown in Ontario.,"May 1, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Aggregated asparagus production and yields - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on harvested area  marketed production  average price  farm value and average yield for asparagus in Ontario.,"March 20, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Aggregated beans production and yields - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on harvested area  marketed production  average price  farm value and average yield for beans in Ontario.,"March 20, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Aggregated beets production and yields - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on harvested area  marketed production  average price  farm value and average yield for beets in Ontario.,"March 20, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Aggregated broccoli production and yields - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on harvested area  marketed production  average price  farm value and average yield for broccoli in Ontario.,"March 20, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Aggregated cabbage production and yields - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on harvested area  marketed production  average price  farm value and average yield for cabbage in Ontario.,"March 20, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Aggregated carrots production and yields - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on harvested area  marketed production  average price  farm value and average yield for carrots in Ontario.,"March 20, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Aggregated cauliflower production and yields - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on harvested area  marketed production  average price  farm value and average yield for cauliflower in Ontario.,"March 20, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Aggregated celery production and yields - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on harvested area  marketed production  average price  farm value and average yield for celery in Ontario.,"March 20, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Aggregated cucumber production and yields - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on harvested area  marketed production  average price  farm value and average yield for cucumber in Ontario.,"March 20, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Aggregated dry onion production and yields - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on harvested area  marketed production  average price  farm value and average yield for dry onion in Ontario.,"March 20, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Aggregated eggplant production and yields - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on harvested area  marketed production  average price  farm value and average yield for eggplant in Ontario.,"March 20, 2023",Open Government Licence – Ontario,Yearly,,
Aggregated green peas production and yields - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on harvested area  marketed production  average price  farm value and average yield for peas in Ontario.,"March 20, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Aggregated kale production and yields - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on harvested area  marketed production  average price  farm value and average yield for kale in Ontario.,"March 20, 2023",Open Government Licence – Ontario,Yearly,,
Aggregated mushroom production and yields - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on harvested area  marketed production  average price  farm value and average yield for mushrooms in Ontario.,"June 30, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Aggregated pepper production and yields - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on harvested area  marketed production  average price  farm value and average yield for peppers in Ontario.,"March 20, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Aggregated pumpkin production and yields - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on harvested area  marketed production  average price  farm value and average yield for pumpkins in Ontario.,"March 20, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Aggregated radishes production and yields - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on harvested area  marketed production  average price  farm value and average yield for radishes in Ontario.,"March 20, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Aggregated rutabagas production and yields - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on harvested area  marketed production  average price  farm value and average yield for rutabagas in Ontario.,"March 20, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Aggregated spinach production and yields - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on harvested area  marketed production  average price  farm value and average yield for spinach in Ontario.,"March 20, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Aggregated sweet potato production and yields - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on harvested area  marketed production  average price  farm value and average yield for sweet potato in Ontario.,"March 20, 2023",Open Government Licence – Ontario,Yearly,,
Aggregated sweetcorn production and yields - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on harvested area  marketed production  average price  farm value and average yield for sweetcorn in Ontario.,"March 20, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Aggregated tomato production and yields - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,XLSX,Get statistical data on harvested area  marketed production  average price  farm value and average yield for tomatoes in Ontario.,"March 20, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Agri-Food Open for E-Business - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,CSV,Through the Canadian Agricultural Partnership  Canada and Ontario have invested over $3.2 million in the Agri-Food Open for E-Business program to help Ontario’s agri-food sector expand online.,"March 2, 2022",Open Government Licence – Ontario,Historical,,
Agricultural resource inventory - Dataset - Ontario Data Catalogue,Agriculture  Food and Rural Affairs,,The Agricultural Resource Inventory 1983 (ARI 1983) dataset includes agricultural land use and drainage systems information.,"October 4, 2021",Open Government Licence – Ontario,Historical,,Ontario
Air Quality Stations - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,ZIP,The air monitoring stations measure up to 6 common pollutants like:,"December 16, 2022",Open Government Licence – Ontario,Yearly,,Ontario
Air Quality in Ontario 2015 - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,CSV,The Air Quality in Ontario Report summarizes the state of ambient air quality in 2015 and 10 year trends for key airborne pollutants affecting Ontario's air quality.,,Open Government Licence – Ontario,Historical,,Ontario
Algonquin to Adirondack landscape analysis - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"This area has been identified as important for species movement. Analysis was
completed on the natural heritage features of the fragmented areas of this
region. This region has considerable development pressures in Ontario and New
York State.","April 30, 2015",Open Government Licence – Ontario,As required,,Ontario
Ambient Groundwater Geochemistry data for southwestern Ontario - Dataset - Ontario Data Catalogue,Mines,KML,"Ambient Groundwater Geochemistry contains detailed inorganic chemistry data
collected from over 900 water samples from south-western Ontario.","October 10, 2012",Ministry Terms of Use,As required,,Ontario
Analysis of Regional Wood Supply - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,.ZIP,"The Analysis of Regional Wood Supply (ARWoodS) data is updated annually to
incorporate changes to wood supply  projected wood supply use  and planned and
actual harvest levels.","September 22, 2023",Open Government Licence – Ontario,Yearly,,Ontario
Annual Air Pollutant Statistics - Dataset - Ontario Data Catalogue,Environment  Conservation and Parks,XLSX,This dataset provides a summary of annual air pollution statistics from 1995 to the current available year for six air pollutants:,"December 19, 2022",Open Government Licence – Ontario,Yearly,,
Annual forest fire reporting data - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,HTML,Get data on forest fires  compiled annually for the National Forestry Database,,Open Government Licence – Ontario,Yearly,,Ontario
Aquatic Landscape Inventory System - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,"This historic dataset delineates valley segments based on a number of
different natural features. The data applies to valley segments on the Ontario
side of the Great Lakes.","April 30, 2015",Open Government Licence – Ontario,Historical,,Ontario
Aquatic Resource Area Survey Point - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,This spatial dataset represents the locations of aquatic resource area (ARA) survey points. ARA survey points may represent a portion of a water body or an entire water body (such as a lake  river or stream). Attributes for each location may include:,"April 30, 2015",Open Government Licence – Ontario,As required,,Ontario
Aquatic ecosystem classification for Ontario (AEC) - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,WEB,​The aquatic ecosystem classification (AEC) is a science-based tool that groups and classifies Ontario’s rivers and streams based on their:,,Open Government Licence – Ontario,On demand,,Ontario
Aquatic ecosystems in the Great Lakes Basin - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,SHP,"The dataset has been used for the Great Lakes Conservation Blueprint Project
for Aquatic Biodiversity. It can be used for:","April 30, 2015",Open Government Licence – Ontario,As required,,Ontario
Aquatic invasive species - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,CSV,"This dataset includes ecological information for non-indigenous aquatic
species (fish  invertebrates and plants) that were identified as current or
potential invaders to Ontario and the Great Lakes region.","March 12, 2019",Open Government Licence – Ontario,Never,,Ontario
Aquatic resource area line segment - Dataset - Ontario Data Catalogue,Natural Resources and Forestry,,This spatial dataset represents the locations of aquatic resource area (ARA) line segments derived from corresponding line features in the Ontario Hydro Network. ARA line segments may represent a portion of a water body or an entire water body (such as a lake  river or stream). Attributes for each location may include:,"April 30, 2015",Open Government Licence – Ontario,As required,,Ontario
